,cancer_admissions_AA,Diabetes_admissions_AA,Stroke_admissions_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,gonorrhea_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,smokers_helpline_%,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
Fitchburg,63.58841408559483,7.246669087149381,21.621971141808494,-0.03296527747795466,-0.1015239187560412,-0.06753133852122029,-0.03090529451126424,-0.004773530162025669,-0.026593826521490282,0.010312100320404305,6.053346031273504,-1.0584562871582823,9.473856342349493e-05,0.0039900158206179395,0.00390538897815405,-1.2687615004895954,0.00010918583190883298,-0.0005063626125356127,-0.06772250712250794,-0.0008335991285088051,-0.13471421521414306,-0.001068042603494507,-89.71460568927998,-387.3072482414002,3.7720797720797776,6.2421652421652425,-2.1054131054131062,-44.52706552706553,-100.40455840455841
Florida,-129.30932977139358,2.492042771910535,-31.24587735787386,0.055853396403644166,0.15513447159630378,-0.14341159137849854,-0.0013400437423513741,-0.005053715765989564,0.07496516114243396,-0.0926878996795957,-3.7569875197264944,1.783716615841718,0.0001195635472872554,-0.006070795654560484,-0.03613858775061402,0.9158370795213278,-0.0007625811680911686,-6.376361253561261e-05,0.02267749287749199,-1.0773738920243776,0.09588196028585697,0.07497106550784992,108.62104201558365,35.004123665244265,90.77207977207978,88.24216524216524,90.89458689458691,85.47293447293447,68.5954415954416
Foxborough,47.80062607696847,10.042729131681293,15.911668133669696,-0.015065277477954638,0.011576081243958758,0.003468661478779777,0.009094705488735769,-0.0057735301620256705,0.005406173478509718,0.03308500777161502,-1.7326960217264942,1.203771130841718,0.0001195635472872554,0.0012984731923569096,0.004302588719974218,0.2266967820424327,-0.00029305116809116936,0.00033531238746438777,-0.028322507122507945,0.0332595878075716,0.02362762502585694,-0.0022348168450912497,-13.014605689279987,48.26305175859978,-34.227920227920215,-16.757834757834758,-14.105413105413106,-15.527065527065533,-11.4045584045584
Framingham,64.90694333597422,11.512501325841248,25.502984338775892,-0.003365277477954648,-0.0271239187560412,0.014468661478779787,0.0010947054887357618,0.00022646983797433573,-0.002593826521490275,0.022312100320404288,-0.3962705667264941,-1.310984064158282,0.0001195635472872554,0.004298920220113394,0.004016412464018174,-0.02854456513361525,-0.00046799516809116926,-0.00032419261253561257,0.039477492877492026,0.09088105286284544,-0.03467359531414306,-0.002020184653124217,-3.814605689279986,-298.1842482414002,-5.2279202279202215,-0.7578347578347575,-12.105413105413106,-10.527065527065533,-112.40455840455841
Franklin,57.444905281659935,10.200561735721466,23.381208319425422,0.004234722522045348,0.04217608124395883,-0.007531338521220231,0.017094705488735776,-0.006773530162025671,-0.00359382652149029,0.00031210032040429603,-1.3090071037264943,1.5393000078417178,0.0001195635472872554,-0.0002479774267014709,0.003417200675765877,-0.030612209115174593,-0.0002785541680911689,0.00018248938746438749,0.021477492877492118,0.08705505962589268,0.06010378497585694,8.55104431788864e-05,-15.514605689279987,217.3189517585997,-17.227920227920222,-10.75783475783476,-3.1054131054131062,3.472934472934469,-66.4045584045584
Freetown,44.380429814940015,-4.726689833328337,5.622568761538584,-0.020965277477954646,-0.003523918756041189,0.026468661478779687,0.013094705488735772,-0.001773530162025666,-0.0015938265214902742,0.04531210032040429,1.3976516552735054,0.23350069284171784,0.0001195635472872554,3.930396645354488e-05,0.0028757420511124018,-1.1695542057382486,-0.0004058671680911693,0.0004846733874643875,-0.050422507122507836,0.038358867987760656,-0.005744056014143045,7.008931230091447e-05,-84.01460568927996,392.2634517585998,-15.227920227920222,-34.757834757834765,8.894586894586894,-43.52706552706553,-156.4045584045584
Gardner,53.75637680840214,4.144927433458451,14.076219698309155,0.0015347225220453398,-0.08672391875604121,-0.07353133852122018,-0.02190529451126423,0.005226469837974333,0.002406173478509729,-0.00668789967959571,2.222085724273505,0.15858118784171782,0.0001195635472872554,0.0019534806744756963,0.00311573697323806,-0.6322304162214865,-0.0004320361680911688,-0.0005335816125356112,-0.03002250712250798,-0.058292695378321165,-0.13109599041414305,-0.0017187943465103116,-85.21460568927999,-895.4852482414003,6.772079772079778,-1.7578347578347575,-10.105413105413106,-40.52706552706553,68.5954415954416
Georgetown,34.76451410803611,-25.725432208553453,-1.2258828100389358,-0.004465277477954639,0.02997608124395876,0.07246866147877973,0.01009470548873577,-0.003773530162025668,0.005406173478509718,0.0353121003204043,0.6289773922735051,5.6321977072574105,0.0001195635472872554,-2.6956406022817653e-06,0.0024353930145243397,0.0989389583870064,3.1770831908831294e-05,-2.66006125356124e-05,0.012077492877492156,0.14811630405405413,0.06934268215585697,-0.002001417381910015,-12.41460568927998,286.80545175859976,-3.2279202279202224,-26.757834757834765,20.89458689458689,-5.527065527065531,-13.4045584045584
Gill,-87.60782564508465,13.097917783837726,-38.97715792787741,-0.014628133264121325,-0.1401846774813548,-0.1726837656293807,0.014228757450755048,-0.0023276557127046085,0.0446858326608346,-0.1574806962709102,-3.7569875197264944,1.783716615841718,0.0001195635472872554,-0.0022678673537842643,0.004302588719974218,0.9158370795213278,0.00026349183190883287,0.0002170983874643876,0.008277492877492021,-0.4772745652392542,-0.24425409411414306,-0.0016094259757979414,40.210951616532455,185.73115175859985,-16.227920227920222,-34.757834757834765,-13.105413105413106,-106.52706552706553,67.5954415954416
Gloucester,58.77195071197068,5.15009228456425,20.61336718811847,0.0053347225220453645,-0.02542391875604119,0.008468661478779782,-0.003905294511264229,0.00022646983797433573,-0.007593826521490278,-0.02968789967959573,-1.1009450227264943,-0.6993610401582819,0.0001195635472872554,6.133482409669683e-05,0.003728128543581152,-0.40204214867452936,0.0002815688319088294,-0.00019952361253561254,0.021977492877492063,0.11432452897210907,0.033825222695856964,-0.0008493540667315027,-84.11460568928,-703.4802482414003,-19.227920227920226,-17.757834757834758,-4.105413105413107,-44.52706552706553,4.595441595441599
