index,cancer_admissions_AA,cardio_admissions_AA,cardio_emergencies_AA,Diabetes_admissions_AA,Diabetes_emergencies_AA,Mental_admissions_AA,Mental_emergencies_AA,Stroke_admissions_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,smoking_pregnant_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,chlamydia_%,gonorrhea_%,syphillis_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,smokers_quitworks_%,smokers_helpline_%,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
Wales,,-752.7127924340468,-381.43354902936784,-0.0,-0.0,-287.655550024888,-938.8252862120461,,,,,,,,,-0.17,22.72727273,-0.0,-0.0004977600796416127,0.008959681433549029,-0.02687904430064709,-0.017919362867098058,-0.0,-0.9955201592832256,-0.007594791,-0.002617788,0.8278,-0.4977600796416128,-0.3787878788,0.0054753608760577405,0.0014932802389248385,,-440.044,-91.0,-1.0,-150.0,-143.0,-0.0
Walpole,-17.3379394432026,-55.939849624060145,-14.944117049380207,-4.149563096931519,-2.332859174964438,-30.184921763869127,-52.895752895752885,-8.169071326966064,0.2025,-0.2365,-0.556,-0.07200000000000001,0.031,-0.10300000000000001,-0.114,-0.027000000000000003,2.666666667,-1.169543475,,0.010729526519000205,-0.007153017679333469,-0.001585043690306848,-0.0,-0.6502743344848608,-0.007643605,-0.002448485,0.8598,-0.0812842918106076,-0.025227043390000002,0.003861003861003861,0.0006909164803901648,-69.0,-732.6484,-127.0,-132.0,-112.0,-86.0,-28.0
Waltham,-5.9535596793254335,-21.64393624836309,-8.036027979175316,-1.9834552365134623,-1.838129611293877,-15.888402695710495,-31.78798428566865,-2.666964770513271,0.1715,-0.2047,-0.534,-0.081,0.027999999999999997,-0.124,-0.12300000000000001,-0.02,3.60432519,-4.388353246,,0.013270944456865438,-0.004263949663036188,-0.0006387939570091668,-0.0002076080360279792,-0.7665527484110001,-0.007571341999999998,-0.002773177,0.8245,-0.11178894247660416,-0.04872184257,0.0024274170366348326,0.0008464019930371459,-73.0,-1111.41,-105.0,-80.0,-94.0,-98.0,-110.0
Ware,-33.70649297781396,-155.0478322817016,-87.40077345817218,-20.80195399959292,-26.002442499491142,-151.414614288622,-304.64074903317726,-30.052920822308163,0.1634,-0.251,-0.65,-0.08,0.042,-0.128,-0.273,-0.239,3.787878788,-0.908999091,,0.008446977406879707,-0.019539995929167515,-0.0037655200488499897,-0.0,-1.2212497455729696,-0.008068835,-0.00241066,0.7898999999999999,-0.2035416242621616,-0.1560283688,0.005190311418685121,0.001628332994097293,-127.7,-1361.634,-79.0,-77.0,-131.0,-92.0,-69.0
Wareham,-16.378346967055563,-90.22395065039561,-49.95306423494704,-14.643958696526756,-9.655357382325333,-34.348039873049935,-187.5866076617049,-14.241652138929867,0.1947,-0.2381,-0.605,-0.096,0.046,-0.114,-0.233,-0.2,6.051437216,-1.56529517,,0.009744758839569084,-0.011666890170309776,-0.0009387153010594072,-0.00022350364310938267,-1.8327298734969384,-0.007839327,-0.002765395,0.7801,-0.2235036431093827,-0.1941747573,0.013007912028966073,0.0021009342452281967,-188.1,-846.1032,-86.0,-90.0,-123.0,-154.0,-57.0
Warren,-73.37949605693403,-288.92094633583383,-171.34064243123674,,,-175.51452202346604,-412.09848047701485,-40.43085208693979,,-0.2529,-0.569,-0.063,0.034,-0.11199999999999999,-0.221,-0.19899999999999998,22.55639098,,,0.007886131948451627,-0.023658395845354875,-0.00615502981342566,-0.001154068090017311,-1.154068090017311,-0.007952333,-0.0025340820000000004,0.8425,-0.0,-0.16025641029999999,0.003654548951721485,0.00038468936333910367,-69.7,-1011.905,-74.0,-80.0,-111.0,-93.0,-139.0
Warwick,,,,,,,,-0.0,,,,,,,,-0.185,0.0,-0.0,,0.004,-0.0,-0.0,-0.0,,-0.007588949,-0.0027768590000000004,0.8473999999999999,-0.0,-0.0,0.0026666666666666666,0.0026666666666666666,,,-1.0,-149.0,-1.0,-164.0,-0.0
Washington,,,,-0.0,-0.0,,,,,,,,,,,-0.0,0.0,-0.0,,0.01002004008016032,-0.0,-0.0,-0.0,,-0.006627163,-0.0024764820000000003,0.845,-0.0,-0.5208333333,0.004008016032064128,0.0,,,-1.0,-1.0,-0.0,-1.0,-0.0
Watertown,-8.788363636363638,-36.68363636363637,-11.592727272727272,-3.4269090909090907,-1.7978181818181818,-19.11854545454545,-42.79563636363636,-5.175272727272726,0.2416,-0.1883,-0.5,-0.066,0.031,-0.095,-0.10800000000000001,-0.019,2.807017544,-2.9685157419999997,,0.013556363636363635,-0.005643636363636364,-0.0009309090909090909,-0.00029090909090909086,-0.6981818181818182,-0.007493581,-0.0031626790000000003,0.8663,-0.08727272727272728,-0.02900232019,0.002792727272727273,0.0008436363636363638,-57.4,-768.873,-104.0,-87.0,-109.0,-87.0,-154.0
Wayland,-22.40521153564632,-65.55409164104816,-28.421900161030607,-7.414726979944371,,-40.54311228224271,-57.47328356024008,-9.85214463475333,0.2575,-0.1801,-0.528,-0.057999999999999996,0.040999999999999995,-0.092,,-0.0,0.0,-0.595592615,,0.009003074220465524,-0.00827111696676914,-0.00029278290147855365,-0.0,-0.0,-0.006970066999999999,-0.00259564,0.8432,-0.1463914507392768,-0.032679738560000005,0.0005855658029571072,0.00021958717610891522,-30.6,-514.7906,-131.0,-120.0,-60.0,-69.0,-99.0
