index,cancer_admissions_AA,cardio_admissions_AA,cardio_emergencies_AA,Diabetes_admissions_AA,Diabetes_emergencies_AA,Mental_admissions_AA,Mental_emergencies_AA,Stroke_admissions_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,smoking_pregnant_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,chlamydia_%,gonorrhea_%,syphillis_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,smokers_quitworks_%,smokers_helpline_%,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
Chatham,0.8353997147,-0.1273154869,-0.06796125049,,,0.1663850659,0.4340471709,0.7887852724,0.8675916383,-0.8526144434,-1.279998409,2.006537292,4.115075058,-1.075015386,-0.3298355289,0.2590869764,-0.4750529212,,-0.2448892329,-1.291861802,-0.07338699296,-0.1464214573,-0.126837945,-0.3584815419,-0.08039793844,-1.035256306,-0.4487322253,0.1060107271,-0.8491443312,-0.007268749211,0.1133568435,-0.7005096231,-1.367012822,0.4632319871,0.5727364385,0.5142886447,0.1475963773,2.603521868
Chelmsford,-0.6111109545,-0.4757187573,-0.4886923138,-0.3130594526,-0.4232990703,-0.3949188195,-0.4607434717,-0.5496077074,0.5726437718,-0.4047532744,0.4489207356,-0.7146930995,-0.3362869357,-0.1977480018,-0.5719496942,-0.3979714987,-0.2290506472,-0.1629393883,-0.2007701335,0.2007348321,-0.09988093207,-0.2119731252,-0.1171632391,-0.4078187431,0.1571906045,-0.6991688309,-3.205769168,-0.2953432526,-0.5015038138,-0.2226508941,-0.2414952885,-0.7976398215,-0.7786018215,0.4094550969,-0.03269779851,0.1975096104,0.2544135494,0.591635322
Chelsea,-0.5739781076,-0.4569738882,-0.430897604,-0.0733904933,0.2031568749,-0.3206802997,-0.3715233152,-0.654314297,-0.6407493498,1.995460775,1.384571096,0.584075951,-0.6330444019,-0.09454007426,-0.4178770436,-0.5159050712,0.2794682254,0.7306383307,-0.2448892329,3.316027724,-0.09994627884,-0.2172811981,-0.04640163733,0.7564633243,1.149604676,4.081914875,-0.6713501151,-0.3166089462,2.966907954,-0.1552879589,-0.1598878221,1.127304111,0.887048164,-0.1820906951,-0.4538694417,-0.1436370418,1.028838047,1.231175416
Cheshire,2.670320932,0.5566506476,0.7793523309,,,0.365384268,0.1037133409,,,,,,,,1.16687022,-0.6169909904,1.048382848,,0.2417713033,-0.2991834467,0.2430138111,2.025342129,-0.126837945,-1.257898076,-0.2502956561,-1.857151671,-0.9253628355,-0.5055196414,0.6133632097,1.53647781,1.46132457,,0.1761496627,-0.3703098108,0.8096454878,0.3437153186,0.7083865306,-0.9139486493
Chester,,0.3989497246,,,,1.804516817,0.5995583881,,,-0.2357996597,,,,,1.342953249,0.9329931047,-0.4750529212,-0.2521705415,-0.2448892329,0.04038986834,-0.05753802796,-0.2368314864,-0.126837945,-1.257898076,-0.1762377293,-2.135059599,1.155258211,1.91601162,2.656230886,-0.246393068,-0.1924317914,,1.625856035,-2.440720083,0.704352577,2.999785683,0.9754294607,-0.9139486493
Chesterfield,,1.145534839,,-0.4880062904,,,,,,,,,,,1.585067414,1.522660967,-0.4750529212,,-0.2448892329,-1.30141449,-0.02390516028,-0.2368314864,1.63592336,-1.257898076,-2.414752175,-0.3692764442,-1.912872962,,1.381548989,-0.2217440798,-0.08432094247,,,-2.440720083,-2.322818608,-1.410753179,-0.2529680179,-0.9139486493
Chicopee,-0.6877623034,-0.4899043189,-0.4957698165,-0.221891998,-0.2260042412,-0.3358257827,-0.4444535751,-0.7296040357,-0.5735460385,1.646826332,1.384571096,1.882845002,0.7023641961,1.918014513,,-1.122420587,0.2065921938,0.1668395333,-0.2448892329,0.8173772039,-0.1020929611,-0.2368314864,-0.1100217474,0.8180335083,1.284268356,0.7067248346,0.1620399338,-0.1734101645,0.8207420107,-0.245815897,-0.2729398703,-0.4267790639,2.030037068,0.1674590911,-0.5065158971,0.7092295889,0.9220208747,0.3784552907
Chilmark,,3.846057344,7.696454455,-0.4880062904,-0.7271671657,,4.609761175,,,,,,,,1.849191958,0.9666884112,-0.4750529212,,1.143254097,-0.7330290326,0.5827237755,2.109565105,-0.126837945,-0.04214759908,-2.883187745,0.4525368664,0.02789838483,,-0.8491443312,12.71140915,12.03907151,,,-2.440720083,0.6517061216,2.683006648,-2.282494287,-0.9006248973
Clarksburg,,0.2159980845,1.622353426,,,,,,,,,,,,,-1.122420587,-0.4750529212,,0.6507131128,-1.890995194,0.08456418788,2.191633346,-0.126837945,-1.257898076,1.568798585,0.2012334171,0.09354212155,1.627734089,-0.8491443312,-0.2093193866,-0.1310923026,,-0.2380401782,-2.440720083,-0.0590210262,2.098183816,0.3078221354,-0.9139486493
Clinton,-0.0870942126,-0.3052110111,-0.173533236,0.8375266039,1.901761183,-0.2487616797,-0.1780894959,-0.247579686,1.162539505,0.6438318578,0.5913023122,-0.4673085185,-0.6330444019,0.4214995635,,1.152012596,1.412188404,-0.0570450201,-0.2448892329,1.597002847,-0.09018860377,-0.2368314864,-0.06581502535,1.959211973,0.819342406,0.254246708,0.9611810766,0.02475288453,0.5239456502,-0.246393068,-0.2729398703,1.314500493,-0.04262427686,0.2750128715,0.3884738446,0.2462448465,1.135655219,1.071290392
