index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
South Hadley,0.22,0.47,0.18,0.56,0.53,0.08,0.14,0.12,0.29
Southampton,0.02,0.86,0.22,0.51,0.61,0.19,0.23,0.11,0.34
Southborough,0.08,0.46,0.2,0.79,0.74,0.12,0.28,0.12,0.35
Southbridge,0.16,0.51,0.16,0.16,0.56,0.14,0.1,0.2,0.25
Southwick,0.05,0.7,0.32,0.49,0.58,0.15,0.12,0.14,0.32
Spencer,0.1,0.64,0.23,0.48,0.59,0.1,0.11,0.13,0.3
Springfield,0.25,0.41,0.13,0.0,0.37,0.15,0.08,0.22,0.2
Sterling,0.06,0.76,0.28,0.69,0.58,0.11,0.14,0.12,0.34
Stockbridge,0.11,0.96,0.11,0.71,0.44,0.27,0.17,0.16,0.37
Stoneham,0.18,0.48,0.28,0.52,0.73,0.31,0.23,0.12,0.36
Stoughton,0.21,0.46,0.21,0.47,0.64,0.29,0.18,0.14,0.33
Stow,0.09,0.65,0.92,0.35,0.82,0.04,0.31,0.11,0.41
Sturbridge,0.04,0.69,0.25,0.77,0.65,0.16,0.14,0.21,0.36
Sudbury,0.08,0.48,0.24,0.75,0.65,0.4,0.52,0.12,0.4
Sunderland,0.38,0.9,0.07,0.46,0.94,0.08,0.17,0.11,0.39
Sutton,0.07,0.65,0.19,0.52,0.78,0.03,0.08,0.14,0.31
Swampscott,0.26,0.48,0.27,0.61,0.61,0.4,0.15,0.11,0.36
Swansea,0.04,0.58,0.16,0.51,0.72,0.15,0.13,0.12,0.3
Taunton,0.11,0.49,0.22,0.33,0.6,0.12,0.15,0.14,0.27
Templeton,0.07,0.72,0.1,0.49,0.71,0.0,0.18,0.13,0.3
Tewksbury,0.08,0.48,0.16,0.53,0.72,0.2,0.25,0.16,0.32
Tisbury,0.31,0.94,0.17,0.45,0.72,0.5,0.27,0.14,0.44
Tolland,0.08,0.96,0.14,0.49,0.65,0.0,0.02,0.12,0.31
Topsfield,0.04,0.55,0.31,0.75,0.57,0.28,0.31,0.11,0.36
Townsend,0.04,0.71,0.18,0.87,0.87,0.1,0.22,0.1,0.39
Truro,0.03,0.98,0.35,0.32,0.47,0.17,0.43,0.12,0.36
Tyngsborough,0.06,0.48,0.06,0.51,0.94,0.17,0.25,0.15,0.33
Tyringham,0.16,0.98,0.54,0.55,0.3,0.0,0.43,0.2,0.4
Upton,0.07,0.66,0.36,0.56,0.85,0.08,0.23,0.16,0.37
Uxbridge,0.03,0.56,0.13,0.48,0.79,0.04,0.2,0.24,0.31
Wakefield,0.2,0.48,0.25,0.57,0.78,0.26,0.2,0.15,0.36
Wales,0.03,0.95,0.12,0.64,0.51,0.0,0.08,0.1,0.3
Walpole,0.21,0.47,0.15,0.57,0.7,0.24,0.24,0.14,0.34
Waltham,0.29,0.43,0.21,0.36,0.72,0.18,0.25,0.14,0.32
Ware,0.08,0.94,0.11,0.45,0.53,0.09,0.11,0.18,0.31
Wareham,0.06,0.51,0.18,0.42,0.62,0.17,0.12,0.15,0.28
Warren,0.04,0.94,0.16,0.49,0.57,0.0,0.12,0.23,0.32
Warwick,0.05,0.97,0.51,0.67,0.5,0.0,0.1,0.26,0.38
Washington,0.02,0.97,0.36,0.48,0.57,0.0,0.23,0.14,0.35
Watertown,0.39,0.47,0.27,0.47,0.86,0.21,0.24,0.12,0.38
Wayland,0.13,0.48,0.45,0.81,0.76,0.2,0.34,0.1,0.41
Webster,0.11,0.48,0.18,0.42,0.46,0.09,0.17,0.16,0.26
Wellesley,0.38,0.43,0.12,0.81,0.44,0.48,0.76,0.12,0.44
Wellfleet,0.13,0.88,0.34,0.61,0.21,0.29,0.2,0.12,0.35
Wendell,0.14,0.96,0.06,0.46,0.51,0.0,0.07,0.32,0.31
Wenham,0.26,0.52,0.02,0.67,0.44,0.06,0.43,0.1,0.31
West Boylston,0.1,0.58,0.17,0.62,0.1,0.15,0.17,0.13,0.25
West Bridgewater,0.12,0.51,0.23,0.56,0.57,0.29,0.24,0.17,0.34
West Brookfield,0.11,0.95,0.09,0.25,0.48,0.16,0.11,0.1,0.28
West Newbury,0.11,0.74,0.54,0.42,0.71,0.0,0.66,0.14,0.42
West Springfield,0.13,0.46,0.19,0.47,0.61,0.31,0.12,0.19,0.31
West Stockbridge,0.04,0.94,0.19,0.54,0.86,0.0,0.16,0.16,0.36
West Tisbury,0.16,0.97,0.1,0.98,0.48,0.0,0.54,0.12,0.42
Westborough,0.13,0.46,0.28,0.74,0.78,0.43,0.23,0.11,0.4
Westfield,0.07,0.49,0.18,0.49,0.55,0.12,0.15,0.12,0.27
Westford,0.05,0.45,0.14,0.73,0.83,0.25,0.29,0.13,0.36
Westhampton,0.03,0.95,0.08,0.74,0.93,0.0,0.15,0.11,0.37
Westminster,0.11,0.74,0.15,0.48,0.83,0.04,0.16,0.12,0.33
Weston,0.16,0.45,0.15,0.78,0.44,0.27,0.86,0.11,0.4
Westport,0.04,0.71,0.2,0.61,0.46,0.13,0.15,0.14,0.3
