\,house_noplumbing_%,house_nokitchen_%,house_lt1939_%,house_1940to1999_%,house_2000to2014_%,median_owner_home_USD,median_sale_homes_USD,house_income_gt30_USD_%,gross_rent_%,property_val_USD,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,homeless_Shelters_per_1000,moved_lastyear_%,renter_occupied_%,vacant_rentals_%,owner_homes_%,occ_lt0.5_%,occ_0.5to1.0_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%
costas%income_womgage_gt35%_%,0.013423159113867591,0.15185551116169058,0.1273145932370975,-0.11729573711593848,-0.07401945948333395,0.26252577329567484,0.1883394584965868,0.1049071853706426,0.13764891683755334,0.07433465770947387,-0.24132979080764186,-0.0781647119472686,-0.00153644213800535,0.08728148878850259,0.24770857536782284,-0.3777271350944127,-0.2872008472209867,-0.05648457528242454,-0.02759855777321544,-0.04185889445931712,-0.03187321629041712,1.0000000000319935,0.06110066661539211,0.06099532217583371,0.17015914926602152,0.07203579111116741,-0.14261555133871187,-0.02166023208224538,0.010970566883114591,0.051548992396424936,0.05970258500055107,0.022089063198400958
homeless_Shelters_per_1000,-0.0646369998623156,-0.05076245313694767,0.19875001461976352,-0.15390317280908924,-0.1717608503208237,-0.0026927856271000547,0.019318174206767597,-0.15405572064105627,0.033198304234532496,0.030224548227231075,-0.07909428710336817,0.009854394707000204,0.023254475729854833,-0.03674028457970079,0.07452151796624461,-0.1175023196011318,-0.013172232331434284,-0.03278279068328568,0.03362898302159406,0.06441439457038722,0.19899600105132623,0.06110066661539211,0.9999999998583953,0.2508279709004036,0.32227774577672774,0.19829796010188697,-0.3353800767301083,-0.17149397464461605,0.15960218446571994,0.1154905579521827,0.136399383169048,0.06891952443032837
moved_lastyear_%,-0.15524129779317114,-0.1208291578402832,0.3131806546007365,-0.238300781744014,-0.28149554333018306,0.018202232785306322,0.08866366163295879,-0.37974249955341116,0.12865141745227235,0.04601236726046843,0.01948316000474709,-0.055452707302559814,-0.014989444165690645,-0.0012684165582349494,0.021375847059012344,-0.09731629079795905,0.044460202453243905,-0.007060204299192969,-0.06921467325247835,0.08708202519445142,0.07376780787596071,0.06099532217583371,0.2508279709004036,0.9999999999967122,0.5892705062982218,0.2761597297631283,-0.6652455097558074,-0.28990267461074964,0.27081222706029123,0.22267779670146828,0.2816059426188599,-0.019095779982071643
renter_occupied_%,-0.11830281850199564,-0.007267317096791349,0.6094839083934795,-0.5236185954154423,-0.39929391887189336,-0.09210823538728416,-0.02233313444048394,-0.5323159069585364,0.07904855665591455,0.07144838223333232,-0.2359006567426981,0.004053251604181636,0.06889039304324372,0.0599102256177127,0.17037233085161083,-0.14576303872868088,-0.08635060737995534,0.02939392402586027,0.05129924995540113,0.044725204976259696,0.11406934018076074,0.17015914926602152,0.32227774577672774,0.5892705062982218,0.9999999999636573,0.4316617867657063,-0.9528766951293788,-0.5766490582579896,0.5320217889035512,0.4558182690717179,0.47200858617721564,0.13451811666838032
vacant_rentals_%,-0.11229173921201595,-0.08039990830216376,0.2803519810493326,-0.22552544017427903,-0.23044454567502506,0.011711775924620966,0.029398373419944397,-0.26409566236307364,0.0289673163388725,0.07909323003949742,-0.06535926609918781,0.07149599313866409,0.03220785497428004,0.049995051433626966,-0.01394573384498305,-0.0687030019348655,-0.040635253009984065,-0.016332720394922434,0.08359396506308037,-0.03963528292738159,0.1211763000378469,0.07203579111116741,0.19829796010188697,0.2761597297631283,0.4316617867657063,0.9973148653840024,-0.4240850667845679,-0.375827617425787,0.3656426702297351,0.25114346076825983,0.16642424089373117,0.04968811440745119
owner_homes_%,0.09641151065652427,0.009840341078296715,-0.5947237422627825,0.507367961635184,0.39587545029200943,0.11832559526032367,0.015105083755737067,0.5286796986581078,-0.09443910340435545,-0.06642483436359616,0.2021561115471176,0.04452987621672951,-0.05028945178590528,-0.06537359191953498,-0.1728253159192461,0.12884672380508513,0.08331532543089933,-0.04210917600530402,-0.036069917899818206,-0.045180077107301375,-0.10651897896924664,-0.14261555133871187,-0.3353800767301083,-0.6652455097558074,-0.9528766951293788,-0.4240850667845679,1.000000000008181,0.564585489972864,-0.5153896859510182,-0.4582107596570755,-0.48879846799783944,-0.16197433543419826
occ_lt0.5_%,0.02464768458593891,-0.03413056032436465,-0.20144604284004852,0.18101353464481915,0.11592745237907078,0.24815862424355986,0.10343985155044158,0.27180299055140206,0.10677984666534335,-0.013815701385932277,0.12889481322728577,-0.1330634866958256,-0.08025254124972749,-0.08383635341188465,0.02571967115793297,0.15039474903265526,0.0033883708743918843,-0.1285684786575861,-0.03808157994472047,-0.017764219764808308,-0.1188818910256761,-0.02166023208224538,-0.17149397464461605,-0.28990267461074964,-0.5766490582579896,-0.375827617425787,0.564585489972864,1.00000000003597,-0.9869907076074228,-0.5391740604301982,-0.45730895921373865,-0.19153595616502575
occ_0.5to1.0_%,-0.05523309541464144,0.010756285406501183,0.16192063714666818,-0.1447750395160386,-0.09592328297599823,-0.23561862741182754,-0.08607094244399845,-0.2539921819585535,-0.1262020479176667,0.014686662637048613,-0.11069014090127788,0.1682219879341647,0.0807296213244533,0.08554929467551739,-0.06516258445228669,-0.13453934621253463,-0.0035118916946115953,0.12627624244162308,0.03751869557301995,0.009531297824983067,0.10680748325000022,0.010970566883114591,0.15960218446571994,0.27081222706029123,0.5320217889035512,0.3656426702297351,-0.5153896859510182,-0.9869907076074228,1.0000000000385685,0.4191882740906596,0.3721417991428338,0.12787092513237294
occ_1.01to1.5_%,0.2161047007304563,0.18557071232760916,0.2831498833688653,-0.2603548004052095,-0.14606187802897166,-0.1998406941550296,-0.1506468822512787,-0.17173421458934737,0.03973228147689838,-3.9714710594788624e-05,-0.17170348967260554,-0.11260081718348561,0.07391089210237406,0.03264776690274264,0.18408579138340717,-0.12658771184709106,0.008014758535621065,0.07827559802780208,0.0030236970304359165,0.020856423592130798,0.09650612437566408,0.051548992396424936,0.1154905579521827,0.22267779670146828,0.4558182690717179,0.25114346076825983,-0.4582107596570755,-0.5391740604301982,0.4191882740906596,1.000000000021246,0.3967604612373797,0.08758475383330779
occ_1.51to2.0_%,-0.012316546008228025,0.04594994798677447,0.1972512075434762,-0.1799920021806152,-0.1013000244655167,-0.016646176496724136,0.010313802936402014,-0.2390775822512695,0.0985923526547966,0.04519671745795227,-0.09194639218733708,-0.07472861327490737,-0.04816543700692637,0.0642551693382341,0.13220880771131635,-0.11905119040104656,-0.01780772699669663,0.046749896124469816,-0.014716308352894553,0.09792820713868411,0.09588988413262185,0.05970258500055107,0.136399383169048,0.2816059426188599,0.47200858617721564,0.16642424089373117,-0.48879846799783944,-0.45730895921373865,0.3721417991428338,0.3967604612373797,0.9999999999661054,0.12588386842716076
occ_gt2.01_%,-0.044449157459267905,-0.05014414458443387,0.10404488825598102,-0.08820987984153086,-0.06891177058092852,-0.1487753085832991,-0.11758577796300963,-0.09379109852084998,-0.07783878326029259,-0.03941837724747345,-0.013885073211366112,0.016426748808114146,0.013702093003902639,-0.027812314930788565,0.009191444128042823,-0.08851108822619617,-0.002881904685652175,0.026974409744710236,0.0841751825373576,0.005369079007251826,0.06896257708597262,0.022089063198400958,0.06891952443032837,-0.019095779982071643,0.13451811666838032,0.04968811440745119,-0.16197433543419826,-0.19153595616502575,0.12787092513237294,0.08758475383330779,0.12588386842716076,1.0000000000239833
