index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Uxbridge,0.97,0.56,0.34,0.43,0.28,0.04,0.2,0.76,0.45
Wakefield,0.82,0.48,0.21,0.43,0.59,0.26,0.2,0.85,0.48
Wales,0.96,0.95,0.1,0.63,0.55,0.0,0.08,0.9,0.52
Walpole,0.8,0.47,0.15,0.43,0.55,0.24,0.24,0.86,0.47
Waltham,0.74,0.43,0.17,0.44,0.57,0.18,0.25,0.86,0.45
Ware,0.94,0.94,0.27,0.42,0.35,0.09,0.11,0.82,0.49
Wareham,0.97,0.51,0.23,0.43,0.43,0.17,0.12,0.85,0.46
Warren,0.98,0.94,0.19,0.23,0.54,0.0,0.12,0.77,0.47
Warwick,0.96,0.97,0.12,0.92,0.86,0.0,0.1,0.74,0.58
Washington,0.94,0.97,0.19,0.7,0.77,0.0,0.23,0.86,0.58
Watertown,0.62,0.47,0.18,0.43,0.62,0.21,0.24,0.88,0.46
Wayland,0.83,0.47,0.25,0.45,0.91,0.2,0.34,0.9,0.54
Webster,0.9,0.48,0.31,0.41,0.16,0.09,0.17,0.84,0.42
Wellesley,0.63,0.43,0.14,0.46,0.5,0.48,0.76,0.88,0.54
Wellfleet,0.84,0.88,0.11,0.5,0.17,0.29,0.2,0.88,0.48
Wendell,0.84,0.96,0.08,0.63,0.32,0.0,0.07,0.68,0.45
Wenham,0.72,0.52,0.1,0.39,0.77,0.06,0.43,0.9,0.49
West Boylston,0.94,0.58,0.19,0.47,0.57,0.15,0.17,0.87,0.49
West Bridgewater,0.89,0.51,0.33,0.44,0.45,0.29,0.24,0.83,0.5
West Brookfield,0.9,0.95,0.07,0.85,0.4,0.15,0.11,0.9,0.54
West Newbury,0.91,0.74,0.16,0.69,0.68,0.0,0.66,0.86,0.59
West Springfield,0.89,0.46,0.25,0.42,0.32,0.31,0.12,0.81,0.45
West Stockbridge,0.88,0.94,0.36,0.53,0.91,0.0,0.16,0.84,0.58
West Tisbury,0.79,0.97,0.14,0.38,0.83,0.0,0.54,0.88,0.57
Westborough,0.88,0.46,0.31,0.44,0.68,0.42,0.23,0.89,0.54
Westfield,0.93,0.49,0.37,0.41,0.43,0.11,0.15,0.88,0.47
Westford,0.94,0.45,0.28,0.44,0.71,0.25,0.29,0.87,0.53
Westhampton,0.93,0.95,0.25,0.89,0.51,0.0,0.15,0.89,0.57
Westminster,0.89,0.74,0.45,0.44,0.61,0.04,0.16,0.88,0.53
