index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Mansfield,0.86,0.83,0.86,0.84,0.76,0.9,0.58,0.68,0.79
Marblehead,0.8,0.83,0.86,0.87,0.88,0.91,0.7,0.77,0.83
Marion,0.9,0.87,0.75,0.77,0.82,0.91,0.71,0.7,0.8
Marlborough,0.89,0.66,0.74,0.52,0.64,0.81,0.5,0.56,0.66
Marshfield,0.91,0.87,0.79,0.78,0.68,0.94,0.61,0.83,0.8
Mashpee,0.89,0.87,0.77,0.69,0.58,0.85,0.73,0.67,0.76
Mattapoisett,0.94,0.91,0.87,0.78,0.78,0.94,0.77,0.75,0.84
Maynard,0.9,0.8,0.77,0.73,0.77,0.96,0.62,0.76,0.79
Medfield,0.84,0.88,0.89,0.97,0.92,0.9,0.72,0.82,0.87
Medford,0.69,0.69,0.74,0.69,0.73,0.82,0.5,0.72,0.7
Medway,0.91,0.82,0.85,0.84,0.84,0.9,0.67,0.85,0.84
Melrose,0.76,0.76,0.82,0.79,0.79,0.73,0.58,0.79,0.75
Mendon,0.91,0.89,0.92,0.74,0.66,0.95,0.83,0.75,0.83
Merrimac,0.88,0.91,0.79,0.83,0.72,0.96,0.75,0.84,0.84
Methuen,0.91,0.65,0.66,0.53,0.59,0.83,0.52,0.71,0.68
Middleborough,0.93,0.85,0.7,0.64,0.53,0.88,0.63,0.65,0.73
Middlefield,0.97,0.97,0.85,0.75,0.79,0.99,0.87,0.83,0.88
Middleton,0.88,0.79,0.82,0.8,0.41,0.91,0.63,0.74,0.75
Milford,0.85,0.7,0.74,0.56,0.66,0.63,0.61,0.67,0.68
Millbury,0.91,0.88,0.76,0.67,0.63,0.91,0.55,0.7,0.75
Millis,0.87,0.85,0.84,0.87,0.71,0.93,0.7,0.76,0.82
Millville,0.91,0.87,0.76,0.64,0.69,0.99,0.65,0.83,0.79
Milton,0.79,0.74,0.84,0.87,0.86,0.76,0.65,0.84,0.79
Monroe,0.97,0.95,0.57,0.5,0.6,1.0,0.72,0.67,0.75
Monson,0.95,0.9,0.77,0.66,0.49,0.94,0.75,0.71,0.77
Montague,0.84,0.87,0.42,0.46,0.5,0.91,0.47,0.57,0.63
Monterey,0.75,0.9,0.74,0.64,0.7,0.91,0.8,0.77,0.78
Montgomery,0.93,0.93,0.88,0.69,0.51,1.0,0.81,0.71,0.81
Mount Washington,0.77,1.0,0.73,0.45,0.37,0.99,0.8,1.0,0.76
Nahant,0.89,0.91,0.83,0.65,0.84,0.98,0.67,0.75,0.82
Nantucket,0.61,0.73,0.71,0.63,0.55,0.83,0.51,0.5,0.63
Natick,0.84,0.78,0.84,0.88,0.86,0.8,0.6,0.72,0.79
Needham,0.83,0.78,0.89,0.89,0.9,0.73,0.76,0.81,0.82
New Ashford,0.94,0.89,0.81,0.76,0.48,0.97,0.61,0.67,0.77
New Bedford,0.79,0.53,0.25,0.18,0.4,0.83,0.46,0.15,0.45
New Braintree,0.94,0.9,0.78,0.61,0.56,0.98,0.8,0.75,0.79
New Marlborough,0.88,0.92,0.8,0.73,0.51,0.98,0.8,0.69,0.79
