index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Lenox,0.84,0.7,0.61,0.5,0.57,0.32,0.29,0.88,0.59
Leominster,0.87,0.57,0.55,0.67,0.34,0.53,0.75,0.86,0.64
Leverett,0.87,0.68,0.5,0.51,0.76,0.89,0.41,0.88,0.69
Lexington,0.83,0.42,0.48,0.53,0.98,0.47,0.48,0.79,0.62
Leyden,0.93,0.77,0.18,0.23,0.51,0.93,0.27,0.86,0.59
Lincoln,0.82,0.43,0.84,0.47,0.98,0.75,0.23,0.89,0.68
Littleton,0.94,0.57,0.35,0.56,0.65,0.79,0.29,0.89,0.63
Longmeadow,0.92,0.57,0.56,0.52,0.84,0.63,0.45,0.89,0.67
Lowell,0.78,0.36,0.56,0.74,0.24,0.5,0.77,0.83,0.6
Ludlow,0.94,0.68,0.33,0.63,0.33,0.76,0.53,0.85,0.63
Lunenburg,0.95,0.6,0.32,0.68,0.56,0.78,0.42,0.87,0.65
Lynn,0.65,0.35,0.55,0.81,0.19,0.64,0.85,0.83,0.61
Lynnfield,0.95,0.63,0.4,0.56,0.8,0.78,0.5,0.89,0.69
Malden,0.59,0.31,0.48,0.73,0.37,0.65,0.88,0.88,0.61
Manchester-by-the-Sea,0.81,0.7,0.68,0.61,0.72,0.74,0.39,0.86,0.69
Mansfield,0.89,0.54,0.25,0.59,0.64,0.73,0.38,0.88,0.61
Marblehead,0.83,0.61,0.65,0.57,0.8,0.7,0.52,0.88,0.7
Marion,0.94,0.67,0.87,0.48,0.76,0.8,0.5,0.88,0.74
Marlborough,0.89,0.46,0.4,0.68,0.45,0.38,0.61,0.86,0.59
Marshfield,0.93,0.63,0.37,0.6,0.54,0.79,0.61,0.88,0.67
Mashpee,0.89,0.64,0.42,0.57,0.39,0.64,0.53,0.85,0.62
Mattapoisett,0.98,0.72,0.48,0.53,0.69,0.72,0.34,0.88,0.67
Maynard,0.91,0.55,0.39,0.64,0.6,0.84,0.56,0.86,0.67
