index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Sterling,0.25,0.76,0.28,0.63,0.58,0.12,0.14,0.56,0.42
Stockbridge,0.18,0.96,0.11,0.67,0.44,0.28,0.17,0.4,0.4
Stoneham,0.19,0.48,0.28,0.47,0.73,0.37,0.23,0.55,0.41
Stoughton,0.2,0.46,0.22,0.44,0.64,0.31,0.18,0.43,0.36
Stow,0.2,0.65,0.93,0.27,0.82,0.05,0.31,0.58,0.48
Sturbridge,0.2,0.69,0.26,0.72,0.65,0.16,0.14,0.44,0.41
Sudbury,0.19,0.49,0.23,0.77,0.65,0.4,0.52,0.6,0.48
Sunderland,0.2,0.89,0.08,0.45,0.94,0.09,0.17,0.52,0.42
Sutton,0.2,0.65,0.19,0.47,0.78,0.04,0.08,0.54,0.37
Swampscott,0.2,0.48,0.27,0.61,0.61,0.41,0.15,0.56,0.41
Swansea,0.2,0.58,0.16,0.46,0.73,0.16,0.13,0.5,0.36
Taunton,0.2,0.49,0.23,0.29,0.6,0.15,0.15,0.47,0.32
Templeton,0.18,0.72,0.11,0.37,0.71,0.03,0.18,0.54,0.36
Tewksbury,0.2,0.48,0.17,0.51,0.72,0.21,0.25,0.47,0.38
Tisbury,0.2,0.94,0.18,0.48,0.73,0.53,0.27,0.39,0.46
Tolland,0.2,0.96,0.14,0.45,0.66,0.01,0.02,0.54,0.37
Topsfield,0.18,0.55,0.31,0.66,0.57,0.28,0.31,0.6,0.43
Townsend,0.2,0.72,0.19,0.77,0.87,0.1,0.22,0.61,0.46
Truro,0.23,0.98,0.36,0.27,0.47,0.18,0.43,0.23,0.39
Tyngsborough,0.2,0.49,0.06,0.52,0.94,0.18,0.25,0.52,0.4
Tyringham,0.23,0.97,0.56,0.61,0.3,0.01,0.43,0.58,0.46
Upton,0.19,0.66,0.36,0.5,0.85,0.1,0.23,0.55,0.43
Uxbridge,0.19,0.56,0.14,0.42,0.79,0.05,0.2,0.6,0.37
Wakefield,0.2,0.48,0.25,0.53,0.78,0.27,0.2,0.55,0.41
Wales,0.28,0.95,0.13,0.55,0.51,0.01,0.08,0.63,0.39
Walpole,0.2,0.47,0.15,0.52,0.71,0.25,0.24,0.48,0.38
Waltham,0.2,0.43,0.22,0.35,0.72,0.21,0.25,0.52,0.36
Ware,0.2,0.94,0.12,0.47,0.53,0.12,0.11,0.4,0.36
Wareham,0.2,0.51,0.19,0.41,0.62,0.2,0.12,0.4,0.33
Warren,0.2,0.94,0.17,0.41,0.57,0.03,0.12,0.46,0.36
Warwick,0.16,0.97,0.53,0.56,0.5,0.01,0.1,0.41,0.4
Washington,0.22,0.97,0.37,0.49,0.57,0.01,0.23,0.42,0.41
