index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Millis,0.06,0.7,0.16,0.47,0.56,0.12,0.14,0.85,0.38
Millville,0.06,0.68,0.32,0.4,0.86,0.0,0.11,0.85,0.41
Milton,0.06,0.61,0.24,0.58,0.66,0.18,0.25,0.86,0.43
Monroe,0.08,0.83,0.15,0.25,0.0,0.01,0.04,0.6,0.24
Monson,0.07,0.79,0.26,0.52,0.68,0.05,0.11,0.71,0.4
Montague,0.05,0.76,0.21,0.41,0.48,0.15,0.1,0.57,0.34
Monterey,0.09,0.84,0.21,0.62,0.49,0.02,0.18,0.71,0.4
Montgomery,0.09,0.83,0.16,0.48,0.74,0.0,0.12,0.79,0.4
Mount Washington,0.1,0.99,0.28,0.73,0.19,0.0,0.11,0.89,0.41
Nahant,0.07,0.83,0.25,0.56,0.73,0.01,0.47,0.76,0.46
Nantucket,0.09,0.62,0.25,0.38,0.96,0.21,0.65,0.55,0.46
Natick,0.06,0.64,0.18,0.6,0.79,0.3,0.21,0.74,0.44
Needham,0.06,0.63,0.2,0.72,0.63,0.37,0.31,0.83,0.47
New Ashford,0.08,0.83,0.36,0.33,0.44,0.01,0.11,0.7,0.36
New Bedford,0.06,0.48,0.16,0.18,0.41,0.2,0.1,0.11,0.21
New Braintree,0.09,0.7,0.22,0.61,0.6,0.01,0.19,0.86,0.41
New Marlborough,0.11,0.87,0.26,0.47,0.39,0.01,0.11,0.86,0.38
New Salem,0.08,0.73,0.22,0.39,0.48,0.01,0.04,0.69,0.33
Newbury,0.06,0.79,0.2,0.63,0.67,0.13,0.24,0.77,0.44
Newburyport,0.06,0.74,0.26,0.59,0.63,0.43,0.17,0.68,0.44
Newton,0.06,0.54,0.24,0.75,0.65,0.4,0.45,0.82,0.49
Norfolk,0.07,0.72,0.42,0.57,0.55,0.18,0.22,0.86,0.45
North Adams,0.06,0.69,0.15,0.28,0.27,0.25,0.07,0.14,0.24
North Andover,0.06,0.7,0.1,0.54,0.7,0.35,0.27,0.84,0.44
North Attleborough,0.06,0.63,0.31,0.54,0.8,0.21,0.23,0.73,0.44
